Menu #,Type,Component
1,Entree,Chili w/ Beans
1,Spread,Cheddar Cheese Spread
1,Cracker/Bread,Crackers
1,Cracker/Bread,Cornbread
1,Side,Pepperoni Cheese Filled Crackers
1,Beverage,Carbohyrdate Electrolyte Beverage Powder
1,Accessory,A
2,Entree,Chicken Stir Fry
2,Side,Fruit Puree Squeeze
2,Side,Trail Mix with Pretzels
2,Dessert,Cinnamon Bun
2,Beverage,Chocolate Protein Drink Powder
2,Seasoning,Picante Seasoning
2,Accessory,B
3,Entree,Chicken w/ Egg Noodles and Vegetables
3,Side,"Applesauce, with Raspberry Puree"
3,Cracker/Bread,Crackers
3,Spread,Chunky Peanut Butter
3,Spread,Apple Jelly
3,Dessert,Skittles
3,Beverage,Fortified Carbohydrate Beverage Powder
3,Seasoning,Picante Seasoning
3,Accessory,A
4,Entree,Spaghetti w/ Beef and Sauce
4,Spread,Cheddar Cheese Spread
4,Cracker/Bread,Italian Bread Sticks
4,Side,Infused and Dried Sliced Cranberries
4,Beverage,Chocolate Protein Drink Powder
4,Beverage,Beverage Base
4,Accessory,B
5,Entree,Chicken Chunks
5,Side,"First Strike Bar, Apple-Cinnamon"
5,Spread,Cheddar Cheese Spread
5,Cracker/Bread,"Tortillas, Plain"
5,Side,"Toasted Corn Kernels, Barbecue"
5,Side,Teriyaki Beef Stick
5,Beverage,Chocolate Protein Drink Powder
5,Seasoning,Picante Seasoning
5,Accessory,B
6,Entree,Beef Taco Filling
6,Side,Santa Fe Style Rice and Beans
6,Spread,Cheddar Cheese Spread
6,Cracker/Bread,"Tortillas, Whole Grain"
6,Side,Nuts and Raisins w/ Pan Coated Chocolate Disks
6,Beverage,Fortified Carbohydrate Beverage Powder
6,Accessory,A
7,Entree,Beef Strips in Tomato Sauce
7,Side,Chocolate Pudding with Protein
7,Side,Teriyaki Beef Stick
7,Spread,Peanut Butter
7,Cracker/Bread,White Wheat Snack Bread
7,Spread,Blackberry  Perserves
7,Beverage,Tropical Smoothie Powder
7,Accessory,B
8,Entree,Meatballs in Marinara Sauce
8,Dessert,Cherry Blueberry Cobbler
8,Dessert,Oatmeal Cookie
8,Spread,Jalapeno Cheddar Cheese Spread
8,Cracker/Bread,Italian Bread Sticks
8,Beverage,Carbohyrdate Electrolyte Beverage Powder
8,Accessory,B
9,Entree,Beef Stew
9,Dessert,Pound Cake
9,Spread,Peanut Butter
9,Cracker/Bread,Multigrain Snack Bread
9,Dessert,Sour Skittles
9,Beverage,Fortified Carbohydrate Beverage Powder
9,Seasoning,Powdered Hot Sauce
9,Accessory,A
10,Entree,Chili and Macaroni
10,Dessert,Pound Cake
10,Spread,Jalapeno Cheddar Cheese Spread
10,Cracker/Bread,Vegetable Crackers
10,Side,Teriyaki Beef Stick
10,Dessert,Twizzlers Nibs
10,Beverage,Carbohyrdate Electrolyte Beverage Powder
10,Seasoning,Powdered Hot Sauce
10,Accessory,B
11,Entree,Cheese Pizza Slice
11,Side,Zapplesauce
11,Side,Coconut Almond High Energy Bar
11,Side,Jalapeno Cashews
11,Beverage,Chocolate Protein Drink Powder
11,Seasoning,Crushed Red Pepper
11,Accessory,A
12,Entree,Elbow Macaroni in Tomato Sauce
12,Dessert,Salted Caramel Marshmellow Crisp
12,Side,"Applesauce, with Mango and Peach Puree"
12,Spread,Chocolate Peanut Spread
12,Spread,Strawberry Preserves
12,Cracker/Bread,Whole Wheat Bread
12,Beverage,Carbohyrdate Electrolyte Beverage Powder
12,Seasoning,Crushed Red Pepper
12,Accessory,A
